Data;DataHora;Grupo;Transportadora;ChaveNFe;NumeroNF;ShipmentOrderID;UF;FaixaPeso;PesoRealKg;ValorCobrado;ValorEBBEstimado;Economia
2026-07-11;2026-07-11 17:30:27.997;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004281971237499779;428197;31942950;PR;20-30kg;20.96586;111.81;295.78093023255815;183.97093023255815
2026-07-12;2026-07-12 11:05:42.593;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003992541771686013;399254;31945363;PR;10-20kg;17.577;102.67;315.1783870967742;212.5083870967742
2026-07-12;2026-07-12 11:06:22.423;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003990261547965430;399026;31945406;RS;20-30kg;22.9908;118.99;344.2204545454546;225.23045454545456
2026-07-12;2026-07-12 11:07:16.777;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004284051013649003;428405;31945454;MG;20-30kg;20.96586;139.63;374.3104225352113;234.68042253521128
2026-07-12;2026-07-12 13:15:17.607;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260801336140000874550010004335761317170440;433576;31946649;MG;10-20kg;12.445524;151.17;349.35677966101696;198.18677966101697
2026-07-12;2026-07-12 20:25:20.797;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003971731324027215;397173;31949731;ES;3-5kg;3.9244499999999998;74.77;261.29;186.52000000000004
2026-07-12;2026-07-12 22:20:18.260;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003973021547483244;397302;31950543;MG;20-30kg;20.96586;138.07;374.3104225352113;236.24042253521128
2026-07-13;2026-07-13 02:50:17.507;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003974191909901352;397419;31951376;MG;20-30kg;20.96586;106.98;374.3104225352113;267.33042253521126
2026-07-13;2026-07-13 12:20:23.163;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003977271510817581;397727;31953619;ES;20-30kg;20.96586;128.09;320.1766666666667;192.08666666666667
2026-07-13;2026-07-13 13:00:30.050;Todo Brasil / Dominalog -> Sul/Sudeste;Dominalog Standard;31260701336140000874550010003977261508712940;397726;31953809;PR;20-30kg;20.96586;111.98;295.78093023255815;183.80093023255813
